CloudFraction,Latitude,Longitude,ScanTime
100.000000,-3.253381,-60.493027,1443168351
33.706894,-3.186955,-60.604073,1435173659
100.000000,-3.152116,-60.646107,1415775615
36.127502,-2.264795,-60.486408,1385279686
100.000000,-3.195471,-60.570129,1430465938
0.000000,0.000000,0.000000,0
16.960529,-3.227404,-60.623055,1412711006
100.000000,-3.225477,-60.583660,1390159561
87.277222,-4.718233,-60.393677,1439925823
98.279633,-3.223377,-60.585640,1396166868
100.000000,-3.262035,-60.556377,1402556795
100.000008,-2.378769,-60.513279,1397721308
100.000000,-3.188177,-60.632568,1392191782
100.000008,-3.226212,-60.575745,1430249244
