date	title	amount	datevalue
2015-12-24	Beer Hunters	18.00	42362
2015-12-24	Estacao do Chef	44.79	42362
2015-12-25	Farmacia Marialva	13.90	42363
2015-12-25	Supermercados Cidade C	10.53	42363
2015-12-25	Supermercado Nova Era	4.34	42363
2015-12-25	Bruno Mateus Buozo	13.00	42363
2015-12-29	Pescados Cabral	15.93	42367
2015-12-29	Napoles Alimentos	10.00	42367
2015-12-29	Big Presenteria	28.00	42367
2015-12-29	Supermercados Koch	13.18	42367
2015-12-29	Efes Bier	23.00	42367
2015-12-29	Kilokura	19.98	42367
2015-12-29	Chilli Beans 1/3	76.00	42367
2015-12-29	Chiquinho Sorvetes	19.00	42367
2015-12-29	Ana Franciele de And	15.21	42367
2015-12-29	Di Pratti Calcados 1/4	114.85	42367
2015-12-29	Rei do Mate	5.00	42367
2015-12-29	Rei do Mate	7.50	42367
2015-12-30	Sr Shawarma	28.00	42368
2015-12-30	Itapanni 24 Horas	17.50	42368
2015-12-31	Nativa Farma	24.99	42369
2015-12-31	Dilcelia das Gracas Va 1/2	30.00	42369
2015-12-31	Cantina Lopes	70.00	42369
2015-12-31	Gelateria Meia Praia	10.98	42369
2015-12-31	Jucelia L da Silva	9.00	42369
2015-12-31	Ice Land Fabrica de	3.00	42369
2015-12-31	Supermercados Koch	15.86	42369
2015-12-31	Ice Land Fabrica de	6.00	42369
2016-01-01	Aroma Brasil Curitiba	31.25	42370
2016-01-01	Tropical Banana Curitiba	3.50	42370
2016-01-01	Bistro Tangua Curitiba	7.00	42370
2016-01-01	Zapata la Taqueria Curitiba	14.90	42370
2016-01-01	Itapemirim Curitiba Curitiba 1/3	53.64	42370
2016-01-01	Schwarzwald B Alemao Curitiba	61.80	42370
2016-01-05	Posto Serv Parana	5.50	42374
2016-01-05	Supermercado Sao Roque	44.64	42374
2016-01-06	Jose Henrique da Costa	24.00	42375
2016-01-06	Rogerio Alessandro de	25.00	42375
2016-01-06	Bella Cosmeticos	27.85	42375
2016-01-07	Silva Ortino Lanches	13.50	42376
2016-01-07	Silva Ortino Lanches	4.00	42376
2016-01-08	Supermercado Padrao	46.24	42377
2016-01-08	Fufu Lia	8.00	42377
2016-01-11	Ifood Com	56.00	42380
2016-01-12	Ma Carneiro Comercio D	7.90	42381
2016-01-12	Skinao Lanches	54.78	42381
2016-01-12	Carrefour Ere	60.68	42381
2016-01-13	Ciclo Felline	60.00	42382
2016-01-13	Ebanx Spotify	14.90	42382
2016-01-15	Papelaria Peres	20.00	42384
2016-01-15	Pagamento recebido	-1591.28	42384
2016-01-18	Mercadopago*Mlivr 3/6	5.86	42387
2016-01-18	Mercadopago 2/10	6.23	42387
2016-01-18	Dilcelia das Gracas Va 2/2	30.00	42387
2016-01-18	Di Pratti Calcados 2/4	114.85	42387
2016-01-18	Mlivre 5/6	6.15	42387
2016-01-18	Mlivre 5/6	6.86	42387
2016-01-18	Netoticas 4/6	79.84	42387
2016-01-18	Itapemirim Curitiba Curitiba 2/3	53.63	42387
2016-01-18	Viacao Ouro Branco 2/3	85.00	42387
2016-01-18	Eucatur 6/10	13.10	42387
2016-01-18	Chilli Beans 2/3	76.00	42387
2016-01-18	Mercadopago 2/10	6.22	42387
2016-01-20	Prime Dog	15.00	42389
2016-01-20	Prime Dog	31.00	42389
2016-01-21	Urbe Cafe Bar	35.64	42390
2016-01-21	M e B Mater Const e Fe	9.30	42390
2016-01-22	Cinemark Eldorado	30.00	42391
2016-01-22	Expresso Itamarati 1/6	65.70	42391
2016-01-22	Jemari	6.00	42391
2016-01-22	Burger King Shopping e	23.50	42391
2016-01-22	Cinemark Eldorado	25.00	42391
2016-01-23	Cacau Show	10.00	42392
2016-01-23	Habibby	3.00	42392
2016-01-25	Estorno de "Moip Enjoei"	-995.58	42394
2016-01-28	Drogaria Catedral	3.50	42397
2016-01-28	Moip Enjoei	995.58	42397
2016-01-28	Mercadopago 1/12	6.15	42397
2016-01-29	Daltiba Auto Posto	18.00	42398
2016-01-30	Auto Posto Ro	16.33	42399
2016-01-30	Inajara de Souza	10.00	42399
2016-02-02	Auto Posto Ro	20.00	42402
2016-02-02	Shop Ig Sup Irmaos Gon	8.73	42402
2016-02-02	Irma Margarida Kuhn	24.90	42402
2016-02-02	Ma Distribuidora	4.38	42402
2016-02-03	e K Minami Ariquemes	9.50	42403
2016-02-03	Maria Luiza da Silva Ariquemes	34.50	42403
2016-02-03	Juliana Natacha Morais Ariquemes	20.50	42403
2016-02-04	Shop Ig Sup Irmaos Gon	10.54	42404
2016-02-04	Delicia S de Chocolate	11.00	42404
2016-02-04	Casa das Biciclet 1/2	55.00	42404
2016-02-04	Panqueca Mania	33.98	42404
2016-02-05	Laengel Eletronica	30.00	42405
2016-02-05	Sabores da Terra	37.03	42405
2016-02-06	Panela de Barro	17.00	42406
2016-02-06	Expresso Itamarati 1/6	47.70	42406
2016-02-11	Mercado Bom Preco	10.00	42411
2016-02-11	Eucatur 1/10	14.20	42411
2016-02-11	Farmacia Sao Paulo	19.45	42411
2016-02-11	Denis	43.00	42411
2016-02-11	Juninho Soft Cafe	13.00	42411
2016-02-11	Payleven	18.50	42411
2016-02-11	Ebanx	14.90	42411
2016-02-12	Grill 12 Com S	35.93	42412
2016-02-13	Subway Vg	3.50	42413
2016-02-13	Lanchonete Rondon	13.00	42413
2016-02-13	Conveniencia	4.00	42413
2016-02-13	Subway Vg	22.50	42413
2016-02-13	Rei da Esfirra	30.83	42413
2016-02-15	Pagamento recebido	-1497.88	42415
2016-02-16	Di Pratti Calcados 3/4	114.85	42416
2016-02-16	Kaisen	15.20	42416
