data,nome,tipo,valor
2015-06-12,Café com quantum,Outras despesas,-15.89
2015-06-12,Erica (2 dias + VT),Diaristas,-164.0
2015-06-12,4 Chaveiros,Vendas,20.0
2015-06-12,Juros maquina Cartão (Valdir),Compras,-11.5
2015-06-12,Moletom,Vendas,100.0
2015-06-12,Moletom (cartão),Vendas,100.0
2015-06-12,6 Chaveiros + 2 canecas,Vendas,33.0
2015-06-12,Moletom,Vendas,100.0
2015-06-17,Taxa de Doc Banco,Compras,-14.9
2015-06-17,Repasse (Maio/Junho),Repasse Atlética,-5000.0
2015-06-19,Conta de Luz,Conta de Luz,-293.9
2015-06-19,Pgto 3º Parcela Moletons,Compras,-2120.0
2015-06-22,Moletom,Vendas,90.0
2015-06-23,2 Camisetas (cartão),Vendas,40.0
2015-06-23,Moletom,Vendas,100.0
2015-06-24,Moletom,Vendas,100.0
2015-06-24,Moletom (cartão),Vendas,100.0
2015-06-25,Camiseta (cartão),Vendas,20.0
2015-06-25,Moletom (cartão),Vendas,100.0
2015-06-26,Moletom,Vendas,100.0
2015-06-30,5 Camisetas,Vendas,100.0
2015-06-30,Moletom,Vendas,100.0
2015-07-01,Material Limpeza,Material de Limpeza,-440.0
2015-07-01,Moletom,Vendas,100.0
2015-07-02,FGTS,JB Contabilidade,-88.9
2015-07-02,JB Contabilidade,JB Contabilidade,-394.0
2015-07-02,GPS,JB Contabilidade,-397.85
2015-07-02,DARF,JB Contabilidade,-11.11
2015-07-02,Salário + Vale,Funcionário-Marivalda,-1572.43
2015-07-03,Pgto Case (mala p organizar fios e cabos de som,Compras,-998.0
2015-07-03,Erica (4 dias + VT),Diaristas,-334.0
2015-07-03,Xerox,Aluguel,1448.0
2015-07-08,Lanchonete,Aluguel,7500.0
2015-07-08,Marinalva (3 dias+ VT),Diaristas,-245.0
2015-07-08,Camiseta (cartão),Vendas,20.0
2015-07-10,Locomoção para aquisição de equipamento,Outras despesas,-94.0
2015-07-10,Regarregador + Pilhas,Compras,-85.0
2015-07-10,Equipamento Iluminação,Compras,-760.0
2015-07-13,Caneca,Vendas,5.0
2015-07-13,2 Chaveiros,Vendas,10.0
2015-07-14,Livraria,Aluguel,1100.0
2015-07-16,2 Camisetas ,Vendas,40.0
2015-07-17,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-07-18,Conta de Luz,Conta de Luz,-206.87
2015-07-20,Kalunga (livro conta corrente),Compras,-8.7
2015-07-20,Material Limpeza,Material de Limpeza,-303.1
2015-07-20,Vale,Funcionário-Marivalda,-500.0
2015-07-24,Camiseta,Vendas,20.0
2015-07-24,Manutenção som,Compras,-410.02
2015-07-24,Cadeado,Compras,-6.0
2015-07-24,Moletom (cartão),Vendas,100.0
2015-07-24,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-07-27,Site Cefisma (trimestral),Manutenção do Site,-210.0
2015-07-28,Chaveiro,Vendas,5.0
2015-07-28,Sacola,Vendas,7.0
2015-07-28,Repasse,Repasse Atlética,-3000.0
2015-07-30,Camiseta + chaveiro (cartão),Vendas,25.0
2015-07-30,Camiseta,Vendas,20.0
2015-07-30,Moletom,Vendas,100.0
2015-07-31,Camiseta + 4 canetas + 2 chaveiro,Vendas,38.0
2015-07-31,Reconhecer Firma,Cartório,-4.8
2015-07-31,Marinalva (3 dias+ VT),Diaristas,-245.0
2015-08-03,Salário,Funcionário-Marivalda,-1047.43
2015-08-03,GPS,JB Contabilidade,-397.85
