,word,word_count
3419,reunidos,2
3058,marques,2
3054,vice,2
3435,partículas,2
3052,assume,2
3048,solicitado,2
3427,1921,2
3428,introduziu,2
3429,técnica,2
3432,aplicou,2
417,amplo,2
3449,fundadoras,2
132,palestras,2
3479,pneumonia,2
3475,contratada,2
3476,gleb,2
3477,wataghin,2
435,230283400480149,2
3478,poucos,2
2970,realizada,2
3480,físicos,2
3473,doutoramento,2
3481,conheceram,2
3482,afirmam,2
3483,brilhante,2
2962,renúncia,2
446,informando,2
2960,unidades,2
3474,retornou,2
3472,society,2
3012,votar,2
2998,balizar,2
245,bandeijão,2
3008,comunidades,2
240,filas,2
3453,aposentada,2
3005,alimentos,2
3455,pesquisava,2
2996,processos,2
2986,colégio,2
3465,1948,2
3466,incentivada,2
2991,desejo,2
3468,dela,2
3469,doutorado,2
3471,philosophical,2
3069,oficial,2
3409,clareza,2
3408,terceira,2
3324,programas,2
3307,punir,2
3310,cobramos,2
3198,doações,2
3315,convênio,2
3190,disponibilidade,2
3322,vida,2
3332,imperialismo,2
3299,manual,2
3173,encontros,2
356,demissão,2
3169,referentes,2
3335,trabalhadoras,2
357,voluntária,2
3159,ausência,2
3300,estuprar,2
3297,astolfo,2
3076,disto,2
3283,continua,2
3261,gravar,2
3263,plenária,2
3266,protagonismo,2
3238,convidados,2
3237,estarão,2
3281,tona,2
3285,estupros,2
3215,negras,2
3228,unidade,2
3289,racista,2
3221,conjuntura,2
3219,fórum,2
3293,vitória,2
3295,blog,2
358,pidv,2
3347,responsabilização,2
3352,resolver,2
3395,daria,2
3098,discutidas,2
3390,escolhêssemos,2
3391,levamos,2
3392,nela,2
3093,participe,2
3394,imediatamente,2
3090,esteja,2
3355,campi,2
291,lgbt,2
3397,proceder,2
3084,métodos,2
3404,compilação,2
3406,oficialização,2
3407,identificar,2
3388,alessando,2
3100,comissaoeleitoralif,2
378,divulgando,2
3386,mário,2
3104,confirmem,2
3385,basílio,2
3384,oscar,2
3383,nomeássemos,2
3108,urnas,2
3382,sugeriram,2
3110,21h30,2
376,tirado,2
3381,cuidados,2
3380,nomeação,2
3130,cumprir,2
3139,ações,2
359,congelamento,2
3485,neusa,2
3486,amato,2
447,envolvidos,2
493,material,2
2746,misoginia,2
3657,exercer,2
2737,única,2
3663,caráter,2
492,chapelaria,2
3664,elitista,2
2728,relatando,2
2757,deveriam,2
2727,meninas,2
494,escolar,2
3673,type,2
3674,theater,2
2715,feminino,2
2711,reais,2
3644,irresponsabilidade,2
3643,desrespeito,2
2805,lógica,2
3626,unesp,2
483,preços,2
3616,noite,2
3617,filmar,2
2787,ingressos,2
3624,documentação,2
2778,procurar,2
3629,endereço,2
2759,obrigado,2
2771,inserida,2
2768,procurando,2
152,investimento,2
2765,afirmou,2
2762,abismo,2
2760,agradar,2
3681,bridge,2
2707,intenção,2
2703,alegou,2
133,práticas,2
2647,conteúdo,2
2643,discriminação,2
511,gustavo,2
2626,profunda,2
135,individual,2
3753,basta,2
3757,bife,2
2700,rapaz,2
519,cimifusp,2
2614,envolvendo,2
2612,esclarecimento,2
3761,apadrinhar,2
3763,natal,2
2602,portal,2
3731,mobilizaram,2
76,educativos,2
3730,ameaçar,2
507,cipolla,2
506,mariana,2
3722,14h30,2
2665,posicionar,2
3719,cronograma,2
2667,postura,2
2668,combativa,2
2669,visando,2
2674,permitir,2
3710,disseminação,2
2687,notícia,2
2688,reconhecendo,2
500,colocaremos,2
2697,contou,2
2803,tentou,2
3600,acordo,2
2956,apresentado,2
3512,review,2
3509,autora,2
455,organizarmos,2
458,possibilidades,2
3510,publicado,2
2926,estaduais,2
3511,physical,2
3513,letters,2
3508,pittsburgh,2
3514,tornou,2
2920,anterior,2
2917,icms,2
2915,repasse,2
3516,graduado,2
3517,dedicou,2
2931,sextas,2
192,gostaria,2
2817,dentre,2
3497,césar,2
3487,1926,2
3488,contribuidora,2
208,opiniões,2
3493,colegial,2
3495,posteriormente,2
3496,convidada,2
3498,lattes,2
3506,obteve,2
202,passarela,2
2941,sharing,2
199,continuam,2
3503,1932,2
3504,formou,2
3505,bacharel,2
3518,epistemologia,2
3519,organizou,2
186,carteirinha,2
2833,atacada,2
3555,cumpre,2
3559,agradecemos,2
2852,precisam,2
3572,computação,2
