0,1,2,3
48,440697006094380_523202471177166,2015-10-06T18:52:58+0000,"DEMOROU MAS CHEGOU!!! Amanhã começa a Feira de Livros da Física!! O horário no qual ocorrerá a feira é das 9h às 20h (durante os três dias), no corredor externo do IFUSP próximo à lanchonete e ao bandejão.

Pra começar bem, teremos amanhã, uma palestra com o professor Marco Dimas Gubitoso (IME-USP) que falará um pouco sobre Software Livre. O professor foi o primeiro usuário de GNU/Linux da USP e (segundo ele mesmo) do Brasil.

Amanhã, às 17h, no Auditório Sul, no IFUSP.

Não deixem de vir na palestra!! (e na Feira, claro!)",
49,440697006094380_523012934529453,2015-10-05T23:38:49+0000,"É isso mesmo, compartilhando esta imagem, marcando presença no evento e convidando 20 amigos para o evento você concorre a duas cestas das deliciosas lembas feitas especialmente pela Das Bonbon Haus! O Sorteio será realizado no último dia da feira e o vencedor será informado por aqui mesmo.

O evento está na página:

https://www.facebook.com/events/1604646559789648/

Além disso, você deve entrar e clicar em ""Quero participar!"" (afinal, você quer participar) no seguinte link: sorteiefb.com.br/tab/promocao/495504

Editoras confirmadas:
Aleph
Companhia das Letras
Editora 34
Cosac Naify
Boitempo
Edusp
Academia do Conhecimento 
Veneta
Odysseus
Vermelho Marinho
EdUnesp
Átomo e Alínea",
50,440697006094380_522771654553581,2015-10-04T22:58:32+0000,"PROGRAMAÇÃO DA FEIRA DE LIVROS DA FÍSICA

A Feira de Livros da Física se aproxima, e já temos novidades para contar pra vocês!!! Parte das atrações da Feira estão confirmadas! Anotem nos calendários, agendas, celulares! Algumas das nossas atrações serão, tcham tcham tcham tcham......

Quarta-feira, 07/10:
17h: Palestra sobre Software Livre* - Convidado: Marco Dimas Gubitoso, professor do Instituto de Matemática e Estatística (IME-USP) e pioneiro na utilização e difusão do GNU/Linux na USP
20h: Sessão extra do Cine Clube da Física* (filme a confirmar)

Quinta-feira, 08/10:
13h: Apresentação do Grupo de Teatro Vaca Esférica - Local: próximo ao Bandejão da Física e à parte externa da nova sala de estudos
16h: Palestra sobre Ficção Científica* - Artur Matuck, professor da Escola de Comunicação e Artes (ECA-USP) e escritor da trilogia Ficção Científica e Poética: A Coleção Stelo Binara

*Local ainda indefinido

Continuem de olho no evento (https://www.facebook.com/events/1604646559789648/) para mais informações sobre a Feira de Livros! Lá estamos postando novidades sobre editoras confirmadas e atrações da Feira.
Ah, e não esqueçam de chamar todos os amigos e amigas ;)",
51,440697006094380_172022246471313,2015-10-04T22:16:02+0000,,Cefisma IFUSP added an event.
52,440697006094380_521816427982437,2015-10-01T01:52:09+0000,"PESSOAL OIEEEEEEE
AMANHÃ COMEÇA O XII CONGRESSO DE ESTUDANTES DA USP
VAI SER LOKOOOO!!!! COLEM!!!!!
VÁRIAS FITA CABULOSA!!!!! FAAARIONS DEBATE MUITO LOKOOOS!
SÉRIO GENTE!!!! SEM BRINCADEIRA AGORA, MEU!!!! VAI ROLAR UMA POLITIZADA!!!! A PARTICIPAÇÃO DE VCS É ASSIM MAIS Q DEMAIS!!! O DEBATE VAI SER SOBRE A CRISE E PANZ NO BRASIL!!! AS 18H!!!!! MSM QUEM NÃO É DELEGADE PODE PARTICIPAR DAS MESAS DE DEBATE!!!! AEEEEEEEEEEEEEE
VEMMMMMMMMMMMMMMMM!!!!!!!!!

BEIJOS DE MUITA LUZ NESSSES CORAÇÃO LIMDO!",
53,440697006094380_521745274656219,2015-09-30T17:51:17+0000,"AVALIAÇÃO DA CAP NO INSTITUTO DA FÍSICA DA USP

Durante esta semana o IFUSP está sendo avaliado pela CAP (Comissão de Avaliação Permanente), um órgão da USP que avalia se os institutos estão cumprindo seu papel na universidade. Se trata de uma comissão externa, que, entre outros, realizará uma reunião de consulta e um espaço de intervenção dos estudantes.

 Esta reunião acontecerá AMANHÃ, QUINTA-FEIRA DAS 15h ÀS 18h NA SALA 207 DA ALA I, sendo a primeira hora e meia reservada para a graduação e a segunda para a pós-graduação.

É importante comparecer para que possamos dar nossas opiniões acerca do curso!",
54,440697006094380_521530424677704,2015-09-29T23:24:34+0000,"""O Encontro da Licenciatura em Física é um convite para refletirmos e (re)pensarmos juntos esses muitos caminhos/caixinhas que temos trilhado/aberto ao longo desse muitos anos de graduação.""

https://www.facebook.com/events/912623465451700/",Cefisma IFUSP shared Encontro da Licenciatura em Física - IFUSP's event.
55,440697006094380_521305231366890,2015-09-29T00:35:45+0000,Inscrevam-se! Essa é a nossa representação nas comissões e colegiados do Instituto!,
56,440697006094380_1673203432923626,2015-09-29T00:06:15+0000,,Cefisma IFUSP added an event.
57,440697006094380_520939891403424,2015-09-27T13:35:03+0000,"ASSEMBLEIA GERAL DE ESTUDANTES SOBRE SEGURANÇA

Dia 29/09, às 18h, no espaço do Núcleo de Consciência Negra
""Em vista do problema atual na USP de segurança, nós, da Ocupação Preta, junto com alguns cursinhos populares da região e com chamado para os moradores da São Remo, convocamos uma assembleia que visa a abertura da discussão acerca dos problemas de segurança e da presença da Polícia Militar nos nossos espaços, tendo em vista a invasão da mesma dentro do Núcleo de Consciência Negra que resultou no enquadro e detenção de dois garotos menores na frente dos alunos que estavam em aula. Queremos debater principalmente a presença da Polícia no campus e nos portões que vem intimidando todos e todas que não se enquadram no perfil USP de aluno, fica o chamado para todas as entidades que se propõem ser de esquerda mas que não abarcam a discussão de forma democrática e com recorte racial necessário. """,Cefisma IFUSP shared Ocupação Preta's event.
